Model,Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
o4-mini,few-shot,Synaptonemal Complex,Human,Mouse,A meiosis‐specific tripartite protein structure assembled between homologous chromosomes during prophase I;  it mediates and stabilizes chromosome synapsis and promotes recombination.,Synaptonemal complex protein 1 (SYCP1);  Synaptonemal complex protein 2 (SYCP2);  Synaptonemal complex protein 3 (SYCP3);  Synaptonemal complex central element protein 1 (SYCE1);  Synaptonemal complex central element protein 2 (SYCE2);  Synaptonemal complex central element protein 3 (SYCE3);  Testis‐expressed protein 12 (TEX12);  Chromosome synapsis factor SIX6OS1 (formerly C14ORF39),SYCP1;  SYCP2;  SYCP3;  SYCE1;  SYCE2;  SYCE3;  TEX12;  SIX6OS1,0.955
o4-mini,contextual,Synaptonemal Complex,Mouse (Mus musculus),Human (Homo sapiens),A meiosis‑specific;  tripartite proteinaceous structure that assembles between homologous chromosomes during prophase I to promote homolog pairing;  synapsis and facilitate crossover recombination.,SYCP1;  SYCP2;  SYCP3;  SYCE1;  SYCE2;  SYCE3;  TEX12;  SIX6OS1,Sycp1;  Sycp2;  Sycp3;  Syce1;  Syce2;  Syce3;  Tex12;  Six6os1,0.97
o4-mini,zero-shot,GNA12‑GPR55‑RGS2 complex,Human (Homo sapiens),Mouse (Mus musculus),Attenuation of GPR55‑driven Gα12 signaling via RGS2‑mediated acceleration of GTP hydrolysis on Gα12;  modulating downstream RhoA activation;  cell migration;  and proinflammatory responses.,• GNA12 (G protein subunit alpha 12); • GPR55 (G protein‑coupled receptor 55); • RGS2 (Regulator of G protein signaling 2),• GNA12; • GPR55; • RGS2,0.49
o4-mini,few-shot,GNA12-GPR55-RGS2 complex,Human,Mouse,Modulates GPR55-mediated Gα12/13 signaling and its timely termination. Upon ligand (e.g.;  lysophosphatidylinositol) binding;  GPR55 couples to GNA12 to activate downstream RhoA and MAPK pathways;  RGS2 acts as a GTPase-accelerating protein to deactivate GNA12;  thereby attenuating receptor-driven signaling.,G protein subunit alpha-12 (GNA12); G protein-coupled receptor 55 (GPR55); Regulator of G protein signaling 2 (RGS2),GNA12;  GPR55;  RGS2,0.85
o4-mini,contextual,GNA12-GPR55-RGS2 complex,Human,Mouse,Mediates lysophosphatidylinositol (LPI) signaling via GPR55 by coupling the receptor to Gα12;  leading to downstream RhoA activation;  RGS2 then binds Gα12 to accelerate GTP hydrolysis;  providing feedback attenuation of GPR55–Gα12 signaling.,G-protein alpha‑12 (Gα12);  G protein‑coupled receptor 55 (GPR55);  Regulator of G‑protein signaling 2 (RGS2),GNA12;  GPR55;  RGS2,0.79
o4-mini,zero-shot,Melanocortin receptor 3 signaling complex,Homo sapiens,Mus musculus,Upon binding of endogenous melanocortin peptides (e.g.;  α‑MSH or ACTH);  MC3R couples to a heterotrimeric Gs protein;  activates adenylate cyclase;  raises intracellular cAMP levels;  and thereby modulates hypothalamic energy homeostasis;  feeding behavior and metabolic rate.,MC3R (Melanocortin receptor 3); GNAS (G protein subunit alpha s); GNB1 (G protein subunit beta 1); GNG2 (G protein subunit gamma 2),MC3R; GNAS; GNB1; GNG2,0.91
o4-mini,few-shot,Melanocortin receptor 3–MRAP2 complex,Human,Mouse,Mediates central energy homeostasis by binding endogenous melanocortin peptides (e.g.;  α‑MSH) and coupling to Gs proteins to elevate intracellular cAMP in hypothalamic neurons.,Melanocortin receptor 3;  Melanocortin receptor accessory protein 2,MC3R;  MRAP2,0.925
o4-mini,contextual,Melanocortin receptor 3–MRAP2 complex,Human,Mouse,A G protein–coupled receptor complex that binds melanocortin peptides (e.g.;  γ‑MSH;  ACTH) to regulate energy homeostasis;  feeding behavior;  and anti‑inflammatory signaling. MRAP2 is required for efficient MC3R trafficking to the cell surface and modulation of downstream Gαs-mediated cAMP production.,Melanocortin receptor 3 (MC3R); Melanocortin 2 receptor accessory protein 2 (MRAP2),MC3R; MRAP2,0.955
o4-mini,zero-shot,ATP1A1‑TSHR complex,Homo sapiens,Mus musculus (predicted orthologous complex),Couples TSHR‑mediated Gs/cAMP signaling to Na+/K+‑ATPase activity in thyroid follicular cells;  synchronizing hormone‑stimulated signal transduction with ionic gradients to support thyroid hormone synthesis.,Na+/K+ ATPase alpha‑1 subunit (ATP1A1); Thyroid‑stimulating hormone receptor (TSHR),ATP1A1; TSHR,0.70
o4-mini,few-shot,ATP1A1‑TSHR complex,Human,Mouse,A transient functional coupling in thyroid follicular cells whereby activation of the thyroid‑stimulating hormone receptor (TSHR) elevates intracellular cAMP and PKA activity;  leading to phosphorylation and upregulation of the Na+/K+‑ATPase α1 subunit (ATP1A1). This coordination modulates membrane potential and ion gradients critical for iodide uptake and thyroid hormone synthesis.,• Sodium/potassium‑transporting ATPase subunit alpha‑1; • Thyroid‑stimulating hormone receptor,• ATP1A1; • TSHR,0.565
o4-mini,contextual,ATP1A1-TSHR complex,Human,Mouse,A membrane‑associated signaling module in thyroid epithelial cells where the thyroid‑stimulating hormone receptor (TSHR) physically associates with the Na⁺/K⁺‑ATPase α1 subunit (ATP1A1). This coupling links TSH‑activated G‑protein signaling to local modulation of ion gradients and cell volume;  fine‑tuning hormone synthesis and secretion.,Sodium/potassium‑transporting ATPase subunit alpha‑1 (ATP1A1);  Thyroid‑stimulating hormone receptor (TSHR),ATP1A1;  TSHR,0.73
o4-mini,zero-shot,'ADRA1B–CXCR4 Heteromer Complex,'Homo sapiens,'Mus musculus,'Modulates cross‑talk between adrenergic and chemokine signaling to regulate Ca2+ mobilization and cell migration in immune and vascular cells,',',0.73
o4-mini,few-shot,ADRA1B-CXCR4 complex,Human,Mouse,This GPCR heterodimer links α1B‑adrenergic and CXCR4 chemokine signaling by modulating G‑protein coupling specificity;  ligand affinity;  β‑arrestin recruitment and receptor internalization;  thereby coordinating adrenergic and chemokine-driven processes such as immune cell chemotaxis and cardiovascular/neuronal responses.,Alpha‑1B adrenergic receptor;  C‑X‑C chemokine receptor type 4,ADRA1B;  CXCR4,0.79
o4-mini,contextual,ADRA1B–CXCR4 complex,Human,N/A,A heteromeric GPCR assembly in which the α1B‑adrenergic receptor (ADRA1B) and the chemokine receptor CXCR4 physically interact to enable cross‑talk between adrenergic and CXCL12 signaling pathways. This complex modulates downstream effects such as Ca2+ mobilization;  MAPK activation;  chemotaxis;  and may influence HIV‑1 co‑receptor function.,Alpha‑1B adrenergic receptor (ADRA1B); C‑X‑C chemokine receptor type 4 (CXCR4),ADRA1B;  CXCR4,0.85
o4-mini,zero-shot,Bdkrb2-Tbxa2r complex,Homo sapiens,None reported (Mouse;  C. elegans;  D. melanogaster;  S. cerevisiae),Heteromeric GPCR assembly that modulates vascular tone and inflammatory signaling via cross‑talk between bradykinin and thromboxane A₂ pathways,Bradykinin receptor B2 (BDKRB2); Thromboxane A2 receptor (TBXA2R),BDKRB2; TBXA2R,0.70
o4-mini,few-shot,Bdkrb2‑Tbxa2r complex,Human,Mouse,A GPCR heterodimer integrating bradykinin‐ and thromboxane A₂–mediated signaling to fine‑tune vascular tone;  platelet activation;  and inflammatory responses via modulated G‑protein coupling and downstream second‑messenger flux.,Bradykinin B₂ receptor (Bdkrb2); Thromboxane A₂ receptor (Tbxa2r),BDKRB2;  TBXA2R,0.85
o4-mini,contextual,Bdkrb2-Tbxa2r complex',Human',Mouse',A heteromeric G protein–coupled receptor complex between the bradykinin B2 receptor and the thromboxane A2 receptor that integrates vasodilatory (bradykinin-induced) and vasoconstrictive (thromboxane A2–induced) signaling in human vascular and smooth muscle cells;  modulating intracellular calcium mobilization and vascular tone.',Bradykinin B2 receptor (B2R);  Thromboxane A2 receptor (TP)',BDKRB2;  TBXA2R',0.85
o4-mini,zero-shot,DRD3–EDNRB heteromer,Homo sapiens,Mus musculus,Modulation of GPCR signaling via heteromerization;  influencing dopamine-mediated neurotransmission and endothelin-B receptor–mediated calcium mobilization and vascular tone regulation.,Dopamine receptor D3 (DRD3); Endothelin receptor type B (EDNRB),DRD3 gene (Entrez Gene ID: 1820); EDNRB gene (Entrez Gene ID: 1900),0.795
o4-mini,few-shot,DRD3–EDNRB complex,Human,Mouse,A heteromeric G protein–coupled receptor (GPCR) assembly that integrates dopaminergic (via D3 receptor) and endothelin‑mediated signaling (via ETB receptor);  modulating vascular tone and neuronal Gαi/o versus Gαq pathway balance.,Dopamine D3 receptor (DRD3);  Endothelin B receptor (EDNRB),DRD3;  EDNRB,0.52
o4-mini,contextual,DRD3–EDNRB heteromeric complex,Human,Mouse,Mediates cross‑talk between dopaminergic (D3) and endothelin‑1 (ET‑1) signaling. Allosteric interactions within the heteromer alter G protein coupling specificity;  modulating intracellular Ca2+ mobilization and MAPK activation in endothelial and neuronal cells.,Dopamine D3 receptor (DRD3);  Endothelin receptor type B (EDNRB),DRD3;  EDNRB,0.7075
o4-mini,zero-shot,Egflam–Gpr179 complex,Mus musculus (Mouse),Homo sapiens (Human),Mediates assembly and stabilization of the photoreceptor ribbon synapse extracellular matrix and ensures proper ON‑bipolar cell signal transduction in the retina,• Pikachurin (Egflam) – an extracellular matrix protein enriched at photoreceptor ribbon synapses; • G‑protein coupled receptor 179 (Gpr179) – a postsynaptic receptor required for ON‑bipolar cell activation,• Egflam; • Gpr179,0.8825
o4-mini,few-shot,Egflam–Gpr179 complex,Mouse,Human,Localizes at the photoreceptor–bipolar cell synapse in the retina;  where extracellular Egflam (Pikachurin) binds and stabilizes the postsynaptic G protein–coupled receptor Gpr179;  ensuring proper synaptic alignment and efficient transmission of visual signals in low‐light conditions.,• Egflam (Pikachurin); • Gpr179,• Egflam; • Gpr179,0.85
o4-mini,contextual,Egflam–Gpr179 complex,Mouse,Human,A trans‑synaptic assembly at photoreceptor ribbon synapses that bridges presynaptic Pikachurin (Egflam) to postsynaptic GPR179;  organizing the extracellular matrix and ensuring correct localization of the ON‑bipolar signaling machinery required for normal scotopic (dim‑light) vision.,• Pikachurin (EGF‑like;  fibronectin type III and laminin G domain‑containing protein;  Egflam); • Probable G‑protein coupled receptor 179 (GPR179),• Egflam; • Gpr179,0.91
o4-mini,zero-shot,Ceacam1-4L–Syk–Tlr4 complex,Mus musculus,Homo sapiens (homologous CEACAM1 long‑isoform–SYK–TLR4 assemblies have been reported),Modulation of lipopolysaccharide (LPS)–triggered TLR4 signaling in macrophages via CEACAM1‑4L–mediated recruitment of the Syk tyrosine kinase;  resulting in regulated downstream NF‑κB activation and cytokine production.,Ceacam1‑4L (Carcinoembryonic antigen‑related cell adhesion molecule 1;  long cytoplasmic tail isoform); Syk (Spleen tyrosine kinase); Tlr4 (Toll‑like receptor 4),Ceacam1 (gene symbol Ceacam1); Syk (gene symbol Syk); Tlr4 (gene symbol Tlr4),0.8875
o4-mini,few-shot,Ceacam1-4L-Syk-Tlr4 complex',Mouse',Human',Upon LPS stimulation;  the long‐isoform CEACAM1 (4L) associates with TLR4 at the plasma membrane;  recruits Syk kinase via its ITIM motifs;  and modulates TLR4-driven signaling to balance pro‐ and anti‐inflammatory cytokine production.',Carcinoembryonic antigen‐related cell adhesion molecule 1 isoform 4L;  Tyrosine‐protein kinase Syk;  Toll‐like receptor 4',Ceacam1;  Syk;  Tlr4',0.91
o4-mini,contextual,CEACAM1-4L–Syk–TLR4 complex',Human',Mouse',This complex assembles upon lipopolysaccharide (LPS) stimulation in human macrophages;  recruiting Syk kinase to TLR4 via CEACAM1‑4Ls long cytoplasmic tail to modulate TLR4-mediated signaling;  promote phagocytosis of Gram-negative bacteria;  and regulate innate immune responses.',Carcinoembryonic antigen‑related cell adhesion molecule 1 isoform 4L (CEACAM1‑4L);  Spleen tyrosine kinase (Syk);  Toll‑like receptor 4 (TLR4)',CEACAM1;  SYK;  TLR4',0.91
o4-mini,zero-shot,KDR-NRP1-VEGF165 complex,Human (Homo sapiens),Mouse (Mus musculus),Mediates VEGF165-induced signaling through VEGFR2 (KDR) and neuropilin‑1 coreceptor to drive endothelial cell proliferation;  migration;  vascular permeability;  and angiogenesis,• KDR (VEGFR2); • NRP1 (Neuropilin‑1); • VEGF165 (VEGFA isoform 165),• KDR; • NRP1; • VEGFA,0.9525
o4-mini,few-shot,KDR-NRP1-VEGF165 complex'-,Human'-,Mouse'-,This receptor–co‑receptor–ligand assembly mediates VEGF165‑induced angiogenic signaling by enhancing ligand binding affinity;  receptor dimerization and activation of downstream pathways that drive endothelial cell proliferation;  migration and vascular permeability.'-,Vascular endothelial growth factor A (isoform VEGF165);  Vascular endothelial growth factor receptor‑2 (VEGFR‑2/KDR);  Neuropilin‑1 (NRP1)'-,VEGFA;  KDR;  NRP1'-,0.955
o4-mini,contextual,KDR‑NRP1‑VEGF165 complex,Human,Mouse,In human vascular endothelial cells;  the VEGF165 dimer binds concurrently to the extracellular domains of the receptor tyrosine kinase KDR (VEGFR‑2) and the non‑catalytic co‑receptor neuropilin‑1 (NRP1). This tripartite assembly enhances KDR dimerization;  autophosphorylation;  and downstream signaling cascades that drive angiogenesis;  vascular permeability;  endothelial proliferation;  and migration.,• Vascular endothelial growth factor A isoform 165 (VEGF165); • Kinase insert domain receptor (KDR/VEGFR‑2); • Neuropilin‑1 (NRP1),• VEGFA; • KDR; • NRP1,0.955
o4-mini,zero-shot,NRP1‑VEGF121 complex,Homo sapiens,Mus musculus,Neuropilin‑1 (NRP1) serves as a co‑receptor for the VEGF‑A121 isoform;  enhancing its presentation to VEGFR2 and potentiating downstream signaling that drives endothelial cell migration;  survival and angiogenic sprouting.,• Neuropilin‑1 (NRP1); • Vascular endothelial growth factor A isoform 121 (VEGF‑A121),• NRP1; • VEGFA,0.8825
o4-mini,few-shot,NRP1‑VEGF121 complex,Human,N/A,Mediates low‑affinity interaction between human Neuropilin‑1 and the VEGF‑A121 isoform;  facilitating presentation of VEGF‑A to VEGFR2 and modulating endothelial cell proliferation;  migration;  and angiogenic signaling.,Neuropilin‑1;  Vascular endothelial growth factor A isoform 121,NRP1;  VEGFA,0.88
o4-mini,contextual,NRP1–VEGF121 complex,Human,Mouse,A receptor–ligand complex in which neuropilin‑1 (NRP1) serves as a low‑affinity co‑receptor for the VEGF-A121 isoform. Although VEGF121 lacks the heparin‑binding domain present in longer isoforms;  it can still engage the b1 domain of NRP1 (Kd ~1–5 µM);  modulating VEGF bioavailability and fine‑tuning angiogenic signaling in endothelial cells.,• Neuropilin‑1 (NRP1); • Vascular endothelial growth factor A;  isoform VEGF121,• NRP1; • VEGFA,0.94
o4-mini,zero-shot,KDR–VEGF165 complex,Homo sapiens,Mus musculus,Ligand–receptor interaction that triggers endothelial cell proliferation;  migration;  survival and increases vascular permeability during angiogenesis,KDR (also known as VEGFR2); VEGF165 (an isoform of VEGFA),KDR; VEGFA,0.9275
o4-mini,few-shot,KDR–VEGF165 complex,Human,Mouse,VEGF165;  a homodimeric ligand;  binds to the extracellular domain of the VEGFR2 (KDR) receptor on endothelial cells;  inducing receptor dimerization;  autophosphorylation and activation of downstream PI3K/AKT and MAPK pathways that drive angiogenesis;  vascular permeability and endothelial cell survival.,Vascular endothelial growth factor 165 (VEGF165);  Kinase insert domain receptor (VEGFR2/KDR),VEGFA;  KDR,0.955
o4-mini,contextual,KDR–VEGF165 complex,Human,Mouse,VEGF165 binds VEGFR‑2 (KDR);  inducing receptor dimerization and autophosphorylation;  which activates downstream MAPK;  PI3K/Akt;  and PLCγ pathways to drive endothelial cell proliferation;  migration;  survival;  and increased vascular permeability during angiogenesis.,Vascular endothelial growth factor A;  isoform VEGF165; Vascular endothelial growth factor receptor 2 (VEGFR‑2/KDR),VEGFA; KDR,1.00
o4-mini,zero-shot,FLT4–VEGFC receptor–ligand complex,Homo sapiens,Mus musculus,Binding of VEGF‑C to the extracellular domain of FLT4 (VEGFR‑3) induces receptor dimerization and autophosphorylation;  triggering downstream PI3K/AKT and MAPK signaling pathways that drive lymphatic endothelial cell proliferation;  migration;  survival and lymphangiogenesis.,• Fms‑like tyrosine kinase 4 (VEGFR‑3;  FLT4) – UniProt P35916; • Vascular endothelial growth factor C (VEGF‑C) – UniProt O95972,• FLT4; • VEGFC,0.985
o4-mini,few-shot,FLT4–VEGFC complex,Human,Mouse,Binding of the ligand VEGFC to its receptor VEGFR-3 (FLT4) induces receptor dimerization;  autophosphorylation;  and downstream signaling that drives lymphatic endothelial cell proliferation;  migration;  survival;  and lymphangiogenesis during embryonic development and in adult tissue homeostasis.,Vascular endothelial growth factor receptor 3 (FLT4/VEGFR-3);  Vascular endothelial growth factor C (VEGFC),FLT4;  VEGFC,0.964
o4-mini,contextual,FLT4-VEGFC complex',Human',Mouse',Ligand–receptor interaction that regulates lymphangiogenesis: VEGFC binds FLT4 (VEGFR‑3) on lymphatic endothelial cells;  inducing receptor dimerization;  autophosphorylation and activation of PI3K/Akt and MAPK pathways to promote lymphatic vessel development and maintenance.',Fms‑related tyrosine kinase 4 (VEGFR‑3);  Vascular endothelial growth factor C',FLT4;  VEGFC',1.0
o4-mini,zero-shot,ITGA3–ITGB1 complex,Human (Homo sapiens),Mouse (Mus musculus),Mediates cell–extracellular matrix adhesion;  especially binding to laminins;  involved in cell migration;  signaling;  and tissue morphogenesis,• Integrin alpha-3 (ITGA3); • Integrin beta-1 (ITGB1),• ITGA3 (gene encoding integrin alpha-3); • ITGB1 (gene encoding integrin beta-1),1.00
o4-mini,few-shot,ITGA3-ITGB1 complex,Human,Mouse,Integrin α3β1 is a transmembrane heterodimeric receptor that mediates cell–extracellular matrix adhesion;  particularly binding laminins;  it regulates cell migration;  signal transduction;  and tissue organization in epithelia.,Integrin alpha-3 (CD49c);  Integrin beta-1 (CD29),ITGA3;  ITGB1,0.91
o4-mini,contextual,ITGA3-ITGB1 complex,Human,Mouse,A laminin‐ and collagen‐binding integrin heterodimer that mediates epithelial cell adhesion;  migration;  hemidesmosome assembly;  and regulation of cell polarity;  implicated in tissue morphogenesis;  wound healing;  and cancer metastasis.,Integrin alpha‐3;  Integrin beta‐1,ITGA3;  ITGB1,0.955
o4-mini,zero-shot,Golgi-associated retrograde protein complex,Saccharomyces cerevisiae,Homo sapiens;  Mus musculus;  Drosophila melanogaster;  Caenorhabditis elegans,Tethering of endosome-derived vesicles to the trans-Golgi network;  facilitating retrograde transport of proteins and lipids back to the Golgi.,Vps51p; Vps52p; Vps53p; Vps54p,VPS51; VPS52; VPS53; VPS54,0.94
o4-mini,few-shot,Golgi-associated retrograde protein (GARP) complex,Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster;  Caenorhabditis elegans,Multisubunit tethering complex that facilitates endosome-to–trans-Golgi network retrograde transport by promoting SNARE complex assembly and vesicle docking at the trans-Golgi.,• Vps51p; • Vps52p; • Vps53p; • Vps54p,VPS51;  VPS52;  VPS53;  VPS54,0.15
o4-mini,contextual,Golgi-associated retrograde protein complex (GARP complex),Saccharomyces cerevisiae,Homo sapiens;  Mus musculus;  Drosophila melanogaster;  Caenorhabditis elegans,A multi‑subunit tethering complex that mediates the docking of endosome‑derived vesicles to the late Golgi;  facilitating retrograde transport of sorting receptors and SNAREs and maintaining Golgi and vacuole function.,Vps51;  Vps52;  Vps53;  Vps54,VPS51;  VPS52;  VPS53;  VPS54,0.955
o4-mini,zero-shot,Transmembrane channel‑like 2 mechanotransduction complex,Mouse (Mus musculus),Human (Homo sapiens),Serves as the pore‐forming and accessory subunits of the mechanoelectrical transduction (MET) channel in cochlear hair cells;  converting stereocilia deflection into receptor potentials.,• TMC2 – pore‐forming subunit; • TMIE – transmembrane accessory protein required for channel gating; • LHFPL5 (TMHS) – auxiliary subunit linking TMC2 to tip‐link cadherins; • PCDH15 – tip‐link lower‐end cadherin providing mechanical force; • CIB2 – calcium‐binding protein modulating channel adaptation,• Tmc2; • Tmie; • Lhfpl5; • Pcdh15; • Cib2,0.91
o4-mini,few-shot,TMC2 mechanotransduction channel complex,Mouse,Human,Core component of the mechanotransduction (MET) channel in cochlear hair cell stereocilia;  converting mechanical stimuli (sound vibrations) into receptor currents during early postnatal development.,Transmembrane channel-like protein 2;  Protocadherin‑15;  Transmembrane inner ear protein;  Lipoma HMGIC fusion partner‑like 5,Tmc2;  Pcdh15;  Tmie;  Lhfpl5,0.88
o4-mini,contextual,TMC2 mechanotransduction channel complex,Mouse,Human,Pore-forming component of the hair-cell mechanoelectrical transduction channel;  mediates Ca2+ and Na+ influx in response to stereocilia deflection in auditory hair cells.,Transmembrane channel‑like protein 2 (TMC2); Transmembrane inner ear protein (TMIE); Lipoma HMGIC fusion partner‑like 5 (LHFPL5),Tmc2; Tmie; Lhfpl5,0.91
o4-mini,zero-shot,eukaryotic initiation factor 3 (eIF3),Homo sapiens,Mus musculus;  Drosophila melanogaster;  Caenorhabditis elegans,Mediates recruitment of mRNA and the initiator Met-tRNAiMet to the 40S ribosomal subunit;  promotes assembly of the 43S pre‑initiation complex;  scanning of the 5′ UTR;  and AUG start‑codon recognition.,• eIF3A; • eIF3B; • eIF3C; • eIF3D; • eIF3E; • eIF3F; • eIF3G; • eIF3H; • eIF3I; • eIF3J; • eIF3K; • eIF3L; • eIF3M,• EIF3A; • EIF3B; • EIF3C; • EIF3D; • EIF3E; • EIF3F; • EIF3G; • EIF3H; • EIF3I; • EIF3J; • EIF3K; • EIF3L; • EIF3M,0.8975
o4-mini,few-shot,eukaryotic initiation factor 3 (eIF3) complex,Human,Mouse,Mediates assembly of the 43S pre‑initiation complex by binding the 40S ribosomal subunit;  promoting mRNA recruitment and scanning;  and preventing premature 60S joining during translation initiation.,Eukaryotic initiation factor 3 subunit A (eIF3a); Eukaryotic initiation factor 3 subunit B (eIF3b); Eukaryotic initiation factor 3 subunit C (eIF3c); Eukaryotic initiation factor 3 subunit D (eIF3d); Eukaryotic initiation factor 3 subunit E (eIF3e); Eukaryotic initiation factor 3 subunit F (eIF3f); Eukaryotic initiation factor 3 subunit G (eIF3g); Eukaryotic initiation factor 3 subunit H (eIF3h); Eukaryotic initiation factor 3 subunit I (eIF3i); Eukaryotic initiation factor 3 subunit J (eIF3j); Eukaryotic initiation factor 3 subunit K (eIF3k); Eukaryotic initiation factor 3 subunit L (eIF3l); Eukaryotic initiation factor 3 subunit M (eIF3m),EIF3A;  EIF3B;  EIF3C;  EIF3D;  EIF3E;  EIF3F;  EIF3G;  EIF3H;  EIF3I;  EIF3J;  EIF3K;  EIF3L;  EIF3M,0.94
o4-mini,contextual,Eukaryotic initiation factor 3 (eIF3) 13‑subunit complex,Human,Mouse;  Caenorhabditis elegans;  Drosophila melanogaster,Facilitates recruitment of mRNA and initiator tRNA to the 40S ribosomal subunit during translation initiation;  scaffolds the 43S pre‑initiation complex;  and promotes mRNA scanning and AUG codon selection.,• Eukaryotic translation initiation factor 3 subunit A; • Eukaryotic translation initiation factor 3 subunit B; • Eukaryotic translation initiation factor 3 subunit C; • Eukaryotic translation initiation factor 3 subunit D; • Eukaryotic translation initiation factor 3 subunit E; • Eukaryotic translation initiation factor 3 subunit F; • Eukaryotic translation initiation factor 3 subunit G; • Eukaryotic translation initiation factor 3 subunit H; • Eukaryotic translation initiation factor 3 subunit I; • Eukaryotic translation initiation factor 3 subunit J; • Eukaryotic translation initiation factor 3 subunit K; • Eukaryotic translation initiation factor 3 subunit L; • Eukaryotic translation initiation factor 3 subunit M,EIF3A;  EIF3B;  EIF3C;  EIF3D;  EIF3E;  EIF3F;  EIF3G;  EIF3H;  EIF3I;  EIF3J;  EIF3K;  EIF3L;  EIF3M,0.94
o4-mini,zero-shot,TIP60/NuA4 histone acetyltransferase complex,Homo sapiens,Mus musculus;  Drosophila melanogaster;  Caenorhabditis elegans;  Saccharomyces cerevisiae,Catalyzes acetylation of nucleosomal histones H4 and H2A to remodel chromatin;  promoting transcriptional activation and DNA damage repair,TIP60 (KAT5);  TRRAP;  EP400 (p400);  EPC1;  EPC2;  DMAP1;  ING3;  BRD8;  MBTD1;  MRGBP;  VPS72;  RUVBL1;  RUVBL2,KAT5;  TRRAP;  EP400;  EPC1;  EPC2;  DMAP1;  ING3;  BRD8;  MBTD1;  MRGBP;  VPS72;  RUVBL1;  RUVBL2,0.885
o4-mini,few-shot,Tip60 chromatin‑remodeling complex,Human,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae,A multi‑subunit histone acetyltransferase (HAT) complex that acetylates nucleosomal histones H4 and H2A to promote transcriptional activation;  DNA damage response and apoptotic signaling in human cells.,Tip60 (KAT5);  TRRAP;  EP400;  DMAP1;  EPC1;  EPC2;  ING3;  MRG15 (MORF4L1);  MRGBP;  YEATS4 (GAS41);  BRD8;  MBTD1,KAT5;  TRRAP;  EP400;  DMAP1;  EPC1;  EPC2;  ING3;  MORF4L1;  MRGBP;  YEATS4;  BRD8;  MBTD1,0.93
o4-mini,contextual,Tip60 chromatin‐remodeling complex (NuA4 HAT complex),Human,Mouse;  Drosophila melanogaster;  Caenorhabditis elegans;  Saccharomyces cerevisiae (orthologous NuA4),A multisubunit histone acetyltransferase complex that acetylates histone H4 and H2A to remodel chromatin and regulate transcription;  DNA repair;  and cell‐cycle progression.,KAT5 (TIP60);  TRRAP;  EP400 (p400);  DMAP1;  EPC1;  EPC2;  ING3;  MBTD1;  MRGBP;  MEAF6;  YEATS4;  VPS72;  BRD8,KAT5;  TRRAP;  EP400;  DMAP1;  EPC1;  EPC2;  ING3;  MBTD1;  MRGBP;  MEAF6;  YEATS4;  VPS72;  BRD8,0.15
o4-mini,zero-shot,COP9 Signalosome,Homo sapiens,Mus musculus;  Caenorhabditis elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,Catalyzes removal of NEDD8 from cullin-RING ubiquitin ligases to regulate their activity;  impacting cell cycle control;  DNA damage response;  and signal transduction,CSN1;  CSN2;  CSN3;  CSN4;  CSN5;  CSN6;  CSN7 (isoforms A or B);  CSN8,COPS1;  COPS2;  COPS3;  COPS4;  COPS5;  COPS6;  COPS7A;  COPS7B;  COPS8,0.8975
o4-mini,few-shot,COP9 Signalosome,Human,Mouse;  Caenorhabditis elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,In human cells;  the COP9 signalosome is an eight‑subunit multifunctional regulator of protein homeostasis. It controls the activity of cullin–RING E3 ubiquitin ligases (CRLs) by deneddylating cullin subunits;  thereby modulating ubiquitin‑mediated degradation pathways involved in cell cycle progression;  DNA damage response;  and signal transduction.,• COP9 signalosome complex subunit 1 (COPS1); • COP9 signalosome complex subunit 2 (COPS2); • COP9 signalosome complex subunit 3 (COPS3); • COP9 signalosome complex subunit 4 (COPS4); • COP9 signalosome complex subunit 5 (COPS5;  alias JAB1); • COP9 signalosome complex subunit 6 (COPS6); • COP9 signalosome complex subunit 7 (COPS7A/COPS7B); • COP9 signalosome complex subunit 8 (COPS8),COPS1;  COPS2;  COPS3;  COPS4;  COPS5;  COPS6;  COPS7A;  COPS7B;  COPS8,0.94
o4-mini,contextual,COP9 signalosome (CSN),Human,Mouse;  Drosophila melanogaster;  Caenorhabditis elegans;  Saccharomyces cerevisiae,A multi-protein regulatory complex that removes the ubiquitin-like modifier NEDD8 from cullin subunits of cullin-RING E3 ubiquitin ligases (CRLs);  thereby modulating CRL activity and controlling processes such as protein degradation;  cell‐cycle progression;  DNA repair;  and transcription.,COP9 signalosome complex subunit 1 (COPS1); COP9 signalosome complex subunit 2 (COPS2); COP9 signalosome complex subunit 3 (COPS3); COP9 signalosome complex subunit 4 (COPS4); COP9 signalosome complex subunit 5 (COPS5;  also known as JAB1); COP9 signalosome complex subunit 6 (COPS6); COP9 signalosome complex subunit 7 (COPS7A and paralogue COPS7B in human); COP9 signalosome complex subunit 8 (COPS8),COPS1; COPS2; COPS3; COPS4; COPS5 (JAB1); COPS6; COPS7A (and COPS7B); COPS8,0.9
