Complex,Technique,LLM,Complex Function,Organism,Other Organisms,Proteins,Genes,Self Confidence Score
Atk-1/Akt-2/Sgk-1 protein kinase complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: AKT-1/AKT-2/SGK-1 AGC‑kinase module  
Organism: Caenorhabditis elegans  
Complex Function:  
 Downstream of the insulin/IGF‑1 receptor DAF‑2 and PI3K (AGE‑1), PDK‑1 phosphorylates and activates the AGC kinases AKT‑1, AKT‑2 and SGK‑1. Together they phosphorylate the FOXO transcription factor DAF‑16, promoting its cytoplasmic retention and thereby regulating dauer formation, lifespan, stress resistance, metabolism and developmental timing. AKT‑1 and AKT‑2 act partially redundantly; SGK‑1 shares overlapping but nonidentical substrates and contributes to fine‑tuning of DAF‑16 activity.  

Proteins in the complex:  
 • Serine/threonine‑protein kinase AKT‑1  
 • Serine/threonine‑protein kinase AKT‑2  
 • Serine/threonine‑protein kinase SGK‑1  

Genes encoding these proteins:  
 • akt-1  
 • akt-2  
 • sgk-1  

Other organisms with homologous AGC‑kinase modules:  
 • Homo sapiens (AKT1, AKT2, SGK1)  
 • Mus musculus (Akt1, Akt2, Sgk1)  
 • Drosophila melanogaster (dAkt/dPKB, dSGK)  

Self Confidence Score: 0.88",,,
RB1-E2F1-TFDP1 transcription repressor complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism (primary)  
Homo sapiens (Human)

Complex name  
RB1–E2F1–TFDP1 transcription repressor complex

Function  
• Represses E2F target genes required for G1→S progression  
• Maintains cells in G₁ phase by recruiting chromatin modifiers (e.g., HDACs) to E2F-responsive promoters  
• Integrates growth‑inhibitory signals (e.g., hypophosphorylated pRb binds E2F1/DP1)

Constituent proteins and corresponding genes  
1. RB1 (Retinoblastoma-associated protein)  
   – Gene: RB1  
2. E2F1 (E2F transcription factor 1)  
   – Gene: E2F1  
3. TFDP1 (Transcription factor DP-1)  
   – Gene: TFDP1

Other organisms with orthologous complexes  
• Mus musculus (Rb1–E2f1–Tfdp1)  
• Drosophila melanogaster (Rbf1–dE2F1–dDP)  
• Caenorhabditis elegans (LIN-35–EFL-1–DPL-1)  

Self‑confidence score  
0.93 / 1.00  
  – Consistency across sources (0.3 weight): 0.28  
  – Experimental support (0.3 weight): 0.27  
  – Protein–gene mapping accuracy (0.25 weight): 0.24  
  – Specificity to human (0.15 weight): 0.14",,,
RB1-E2F1-TFDP1 transcription repressor complex,few-shot,ChatGPT,"Mediates transcriptional repression of E2F‐responsive genes at the G1/S transition. RB1 binds the E2F1–DP1 heterodimer, blocking its activation domain and recruiting chromatin‐modifying corepressors to inhibit S‑phase gene expression.'  
‘","Human (Homo sapiens)'  
‘","Mouse (Mus musculus)'  
‘","• Retinoblastoma‑associated protein 1 (RB1)  
  • Transcription factor E2F1 (E2F1)  
  • Transcription factor DP‑1 (TFDP1)'  
‘","RB1, E2F1, TFDP1'  
‘",0.93'
RB1-E2F1-TFDP1 transcription repressor complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: RB1–E2F1–TFDP1 transcription repressor complex  
Organism: Human  
Other Organisms: Mus musculus, Drosophila melanogaster, Caenorhabditis elegans (homologous complexes)  

Complex Function:  
Mediates repression of E2F‑responsive genes during G₁ to S phase transition. RB1 binds E2F1/DP1 heterodimers on promoters of genes required for DNA synthesis, recruiting chromatin remodelers (e.g., HDACs) to inhibit transcription and enforce cell‑cycle checkpoints.  

Proteins:  
• Retinoblastoma protein (RB1)  
• Transcription factor E2F1 (E2F1)  
• Transcription factor Dp-1 (TFDP1)  

Genes:  
• RB1  
• E2F1  
• TFDP1  

Self Confidence Score: 0.97",,,
"PETISCO, pid-1 variant",zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
  Caenorhabditis elegans  

Complex Name:  
  PETISCO (Piwi‐Interacting RNA–Processing Complex), PID‑1 variant  

Function:  
  • Binds and stabilizes 21U‑RNA (piRNA) precursors in the germline  
  • Facilitates 5′-cap recognition and precursor trimming before loading onto PRG-1 (Piwi)  
  • Specifically, the PID‑1–containing variant is required for mature 21U‑RNA biogenesis  

Constituent Proteins and Their Genes:  
  • IFE‑3 (eIF4E isoform) — gene: ife-3  
  • TOFU‑6 (TOFu factor 6) — gene: tofu-6  
  • PID‑3 (PETISCO subunit) — gene: pid-3  
  • ERH‑2 (Enhancer of rudimentary homolog 2) — gene: erh-2  
  • PID‑1 (piRNA maturation factor) — gene: pid-1  

Other Organisms:  
  • No direct orthologous PETISCO assemblies with PID‑1 have been described outside nematodes; complex appears specific to C. elegans (and close Caenorhabditis species).  

Self‑Confidence Score: 0.86  
  (Based on cross‑database consistency, supporting experimental data, protein–gene mapping accuracy, and organism specificity)",,,
"PETISCO, pid-1 variant",few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: PETISCO (PID‑1 variant)  
Organism: Caenorhabditis elegans  

Complex Function:  
PETISCO is a five‑subunit ribonucleoprotein complex essential for the biogenesis of 21U RNAs (piRNAs) in the C. elegans germline. The PID‑1 variant of PETISCO associates with nascent 21U‑RNA precursors at perinuclear P granules, protecting their capped 5′ ends and promoting precise 5′‑end trimming before hand‑off to the PRG‑1 Argonaute.  

Proteins (subunits) and corresponding genes:  
• PID‑1 (Piwi‑interacting RNA Deficiency protein 1) – gene: pid‑1  
• PID‑3 (Piwi‑interacting RNA Deficiency protein 3) – gene: pid‑3  
• ERH‑2 (Enhancer of Rudimentary Homolog 2) – gene: erh‑2  
• IFE‑3 (Isoform of eIF4E translation initiation factor) – gene: ife‑3  
• TOFU‑6 (Twenty‑One U Fouled Up 6) – gene: tofu‑6  

Other Organisms:  
To date, PETISCO appears restricted to nematodes; homologous complexes have been identified in other Caenorhabditis species (e.g. C. briggsae) but not outside the clade.  

Self Confidence Score: 0.88",,,
"PETISCO, pid-1 variant",contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: PETISCO (PID‑1 variant)  
Organism: Caenorhabditis elegans  
Complex Function: Facilitates 21U‑RNA (piRNA) biogenesis by binding and stabilizing piRNA precursor transcripts and recruiting processing factors in the germline. The PID‑1–containing PETISCO is specifically required for piRNA maturation; PETISCO assembled with the paralogous factor TOST‑1 functions in an unrelated developmental pathway.  
Proteins (PID‑1 variant):  
• IFE‑3 (eIF4E homolog 3)  
• ERH‑2 (Enhancer of rudimentary homolog 2)  
• PID‑3 (Piwi-interacting RNA pathway determinant 3)  
• TOFU‑6 (Twenty-one-u precursor Factor Unassembled 6)  
• PID‑1 (Piwi-interacting RNA pathway determinant 1)  
Genes:  
• ife-3  
• erh-2  
• pid-3  
• tofu-6  
• pid-1  
Other Organisms: So far restricted to nematodes (other Caenorhabditis species); no PETISCO orthologous holocomplex described in vertebrates, insects, or yeast.  
Self Confidence Score: 0.92",,,
"PETISCO, tost-1 variant",zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism  
Caenorhabditis elegans  

Complex name  
PETISCO (tost‑1 variant)  

Function  
• PETISCO is an essential ribonucleoprotein assembly that promotes biogenesis and stabilization of 21U‑RNA (piRNA) precursors in the C. elegans germline.  
• The tost‑1 variant of PETISCO directs the complex toward proper precursor maturation, protects processing intermediates from exosomal degradation, and thereby contributes to maintenance of piRNA homeostasis and fertility.  

Subunit proteins and their genes  
1. IFE‑3  
   – Protein: eIF4E homolog (IFE‑3)  
   – Gene: ife‑3  
2. TOFU‑6  
   – Protein: “Twenty‑one‑U‑factor unique” protein TOFU‑6  
   – Gene: tofu‑6  
3. PID‑3  
   – Protein: Piwi‑interacting domain protein PID‑3  
   – Gene: pid‑3  
4. ERH‑2  
   – Protein: Enhancer of rudimentary homolog ERH‑2  
   – Gene: erh‑2  
5. TOST‑1  
   – Protein: PETISCO variant subunit TOST‑1  
   – Gene: tost‑1  

Other organisms  
• The PETISCO core (IFE‑3, TOFU‑6, PID‑3, ERH‑2) is specific to Caenorhabditis species.  
• The full PETISCO assembly, and in particular the TOST‑1 variant, has not been detected outside the Caenorhabditis genus.  

Self‑confidence score: 0.82  
Scoring rationale (total weight = 1.00):  
• Consistency across sources/databases (0.30): 0.25  
• Experimental support for complex composition/function (0.30): 0.22  
• Accuracy of protein–gene mappings (0.25): 0.23  
• Specificity to C. elegans context (0.15): 0.12",,,
"PETISCO, tost-1 variant",few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: PETISCO (TOST‑1 variant)  
Organism: Caenorhabditis elegans  

Complex Function:  
In the C. elegans germline, PETISCO is a dedicated piRNA (21U RNA)‑biogenesis factor. The TOST‑1–containing variant binds nascent 21U RNA precursors, promotes their 3′‑end trimming and stabilization, and hands them off to the PIWI protein PRG‑1 for loading.  

Proteins (subunits):  
• IFE‑3 (eukaryotic translation initiation factor 4E isoform 3)  
• ERH‑2 (Enhancer of rudimentary homolog 2)  
• PID‑3 (Precursor Interacting Domain‑containing protein 3)  
• TOST‑1 (Terminator of 21U RNA Small Transcript 1)  

Genes:  
• ife‑3  
• erh‑2  
• pid‑3  
• tost‑1  

Other Organisms:  
N/A (PETISCO as defined—with a TOST‑1 or PID‑1 module—is, to date, specific to nematodes such as C. elegans.)  

Self Confidence Score: 0.80",,,
"PETISCO, tost-1 variant",contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: PETISCO (TOST‑1 variant)  
Organism: Caenorhabditis elegans  

Complex Function:  
This is the TOST‑1–containing form of the PETISCO (PiRNA biogenesis and Transcript Isolation Step Complex) that localizes to perinuclear P granules in early embryos. By engaging capped small RNA precursors—most notably 21U‑RNA (piRNA) precursors—in somatic blastomeres, PETISCO^TOST‑1 protects them from the XRN‑2 exonuclease and promotes their proper processing. Loss of the TOST‑1 variant leads to embryonic lethality due to widespread misregulation of small RNA–mediated gene silencing.  

Proteins (subunits):  
• PID‑3  
• TOFU‑6  
• IFE‑3  
• ERH‑2  
• TOST‑1  

Genes:  
• pid‑3  
• tofu‑6  
• ife‑3  
• erh‑2  
• tost‑1  

Other Organisms:  
Not described outside Caenorhabditis elegans (no clear orthologous PETISCO assembly has been reported in mouse, human, Drosophila, or yeast).  

Self Confidence Score: 0.86",,,
Ndc80 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism (primary):  
  Saccharomyces cerevisiae  

Complex name:  
  Ndc80 complex  

Function:  
  - Core outer‐kinetochore assembly that directly binds spindle microtubules  
  - Provides end‐on microtubule attachments, tension sensing and chromosome segregation fidelity  

Subunit proteins and corresponding genes (S. cerevisiae):  
  1. Ndc80 (protein) — NDC80 (gene, YBR152W)  
  2. Nuf2 (protein) — NUF2 (gene, YKR017C)  
  3. Spc24 (protein) — SPC24 (gene, YMR045W)  
  4. Spc25 (protein) — SPC25 (gene, YBR204W)  

Other organisms with orthologous Ndc80 complexes:  
  • Homo sapiens (Hec1/NDC80, NUF2, SPC24, SPC25)  
  • Mus musculus (Ndc80, Nuf2, Spc24, Spc25)  
  • Caenorhabditis elegans (HIM‑10/NDC80, NUF2, SPC‑24, SPC‑25)  
  • Drosophila melanogaster (Ndc80, Nuf2, Spc24, Spc25)  

Self‑confidence score: 0.94  
  (Criteria weights: consistency 0.28/0.30; experimental support 0.28/0.30; protein‑gene mapping 0.24/0.25; organism specificity 0.14/0.15)",,,
Ndc80 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Ndc80 complex  
Organism: Saccharomyces cerevisiae  
Complex Function: Outer‐kinetochore heterotetramer that binds and stabilizes spindle microtubules, generates tension across sister chromatids, and ensures accurate chromosome segregation during mitosis.  
Proteins:  
• Ndc80p  
• Nuf2p  
• Spc24p  
• Spc25p  
Genes:  
• NDC80  
• NUF2  
• SPC24  
• SPC25  
Other Organisms: Homo sapiens, Mus musculus, Caenorhabditis elegans, Drosophila melanogaster  
Self Confidence Score: 0.97",,,
Ndc80 complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Ndc80 complex  
Function: Outer kinetochore–microtubule attachment module that stabilizes end-on microtubule binding, facilitates chromosome biorientation, and contributes to spindle assembly checkpoint signaling during mitosis.  
Organism: Human (Homo sapiens)  
Proteins:  
- Kinetochore protein NDC80 (also known as Hec1)  
- Kinetochore protein NUF2  
- Kinetochore protein SPC24  
- Kinetochore protein SPC25  
Genes:  
- NDC80  
- NUF2  
- SPC24  
- SPC25  
Other Organisms:  
- Mouse (Mus musculus)  
- Caenorhabditis elegans  
- Drosophila melanogaster  
- Saccharomyces cerevisiae  
Self Confidence Score: 0.98",,,
Kinetochore Mis12 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
  Homo sapiens  

Complex name:  
  Kinetochore Mis12 complex (part of the KMN network)  

Function:  
  Serves as a central scaffold at the centromere–microtubule interface. It connects inner‑centromere proteins (e.g. CENP‑C) to outer‑kinetochore microtubule binders (e.g. NDC80), stabilizes kinetochore–microtubule attachments, and is essential for accurate chromosome segregation.  

Subunit composition and gene mapping:  
  1. MIS12  
    – Protein name: Mis12 kinetochore component  
    – Gene: MIS12  
  2. DSN1  
    – Protein name: Dsn1 homolog, kinetochore component  
    – Gene: DSN1  
  3. NSL1  
    – Protein name: NSL1 homolog, kinetochore component  
    – Gene: NSL1  
  4. PMF1  
    – Protein name: PHD finger protein 1 (also called PMF1)  
    – Gene: PMF1  

Other organisms in which a homologous Mis12 complex is found:  
  – Mus musculus (mouse)  
  – Caenorhabditis elegans  
  – Drosophila melanogaster  
  – Saccharomyces cerevisiae  

Self‑confidence score: 0.91  

Breakdown (weight × score):  
  • Consistency across databases (0.30 × 0.93) = 0.28  
  • Supporting experimental data (0.30 × 0.90) = 0.27  
  • Protein–gene mapping accuracy (0.25 × 0.96) = 0.24  
  • Organism specificity accuracy (0.15 × 0.80) = 0.12  

Total = 0.91",,,
Kinetochore Mis12 complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Kinetochore Mis12 (MIND) complex  
Organism: Saccharomyces cerevisiae  

Complex Function:  
• Core component of the KMN network that links centromeric nucleosomes to the microtubule‑binding Ndc80 complex.  
• Essential for kinetochore assembly, spindle checkpoint signaling, and accurate chromosome segregation.  

Proteins and Corresponding Genes:  
• Mtw1p – MTW1  
• Nsl1p – NSL1  
• Dsn1p – DSN1  
• Nnf1p – NNF1  

Other Organisms:  
The Mis12/MIND complex is conserved in:  
• Homo sapiens  
• Mus musculus  
• Drosophila melanogaster  
• Caenorhabditis elegans  

Self Confidence Score: 0.96",,,
Kinetochore Mis12 complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Kinetochore Mis12 complex  
Organism: Homo sapiens  
Complex Function: A core component of the KMN network (KNL1–Mis12–Ndc80) at the outer kinetochore. It mediates stable microtubule attachments to centromeric chromatin, recruits downstream kinetochore proteins, and is essential for spindle checkpoint signaling.  
Proteins (subunits):  
• MIS12 (Mis12)  
• DSN1 (Dsn1)  
• NSL1 (Nsl1)  
• PMF1 (Pmf1)  

Genes:  
• MIS12  
• DSN1  
• NSL1  
• PMF1  

Other Organisms:  
Conserved across eukaryotes; orthologous complexes found in Mus musculus, Caenorhabditis elegans, Drosophila melanogaster, Saccharomyces cerevisiae and other model organisms.  

Self Confidence Score: 0.97",,,
THO complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Saccharomyces cerevisiae  

Complex name:  
THO complex  

Complex function:  
• Couples transcription elongation with mRNA 3′-end processing and export  
• Maintains genome stability by preventing R‐loop accumulation  
• Participates in co‐transcriptional assembly of export‐competent messenger ribonucleoprotein particles (mRNPs)  

Proteins in the complex and corresponding genes:  
• Hpr1p – gene: HPR1  
• Tho2p – gene: THO2  
• Mft1p – gene: MFT1  
• Thp2p – gene: THP2  
• Tex1p – gene: TEX1  

Other organisms in which a THO complex is found (with analogous subunits):  
• Homo sapiens (THOC1, THOC2, THOC3, THOC5, THOC6, THOC7, TEX1)  
• Mus musculus (same THOC subunits as human)  
• Drosophila melanogaster (Tho2, Hpr1, Tex, Xmas‐2)  
• Caenorhabditis elegans (thoc‐1, thoc‐2, thoc‐3, thoc‐5, thoc‐6, thoc‐7)  

Self‑confidence score for these findings: 0.93  
(Consistency across databases 0.29/0.30; experimental support 0.28/0.30; protein–gene mapping 0.24/0.25; organism specificity 0.12/0.15)",,,
THO complex,few-shot,ChatGPT,"A core component of the TREX assembly, the THO complex couples transcription elongation to mRNA processing and nuclear export in Saccharomyces cerevisiae, prevents R‑loop accumulation and maintains genome stability.'  
‘","Saccharomyces cerevisiae'  
‘","Homo sapiens, Mus musculus, Drosophila melanogaster, Caenorhabditis elegans'  
‘","Tho2, Hpr1, Mft1, Thp2, Tex1'  
‘","THO2, HPR1, MFT1, THP2, TEX1'  
‘",0.98'
THO complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: THO complex  
Organism: Saccharomyces cerevisiae  
Complex Function: A core component of the TREX (transcription/export) machinery that couples transcription elongation to mRNP assembly and nuclear export. It maintains genome stability by preventing R‑loop accumulation during transcription and promotes efficient mRNA processing and export.  
Proteins:  
• Hpr1  
• Tho2  
• Mft1  
• Thp2  
• Tex1  
Genes:  
• HPR1  
• THO2  
• MFT1  
• THP2  
• TEX1  
Other Organisms: Human, Mouse, Drosophila melanogaster, Caenorhabditis elegans (THO complex is conserved across eukaryotes as part of TREX)  
Self Confidence Score: 0.90",,,
Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Saccharomyces cerevisiae  

Complex Name:  
Endosomal SNARE complex (also called Tlg SNARE complex)  

Function:  
Mediates vesicle fusion between early/recycling endosomes and the trans‑Golgi network (TGN), facilitating retrograde transport of cargo (e.g. TGN resident proteins, sorting receptors) back to the Golgi.  

Constituent Proteins and Corresponding Genes:  
1. Tlg2p (t‑SNARE) – gene: TLG2 (systematic name YBR210W)  
2. Vti1p (Q‑SNARE) – gene: VTI1 (YGR236C)  
3. Tlg1p (t‑SNARE) – gene: TLG1 (YDR127C)  
4. Snc2p (v‑SNARE/recycling v‑SNARE) – gene: SNC2 (YEL048W)  

Other Organisms with Homologous Complexes (not the exact S. cerevisiae proteins but functional equivalents):  
• Homo sapiens (e.g. STX16–VTI1A–STX6–VAMP3 complex)  
• Drosophila melanogaster (syntaxin16, Vti1-related SNAREs)  
• Caenorhabditis elegans (syntaxin and Vti1 orthologs)  

Self‑Confidence Score: 0.89  

Breakdown (weights in parentheses):  
• Consistency across databases/sources (0.3): 0.85 → 0.255  
• Supporting experimental data (0.3): 0.90 → 0.270  
• Accuracy of protein–gene mapping (0.25): 0.90 → 0.225  
• Specificity to S. cerevisiae (0.15): 0.95 → 0.1425  
Total ≈ 0.89",,,
Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Endosomal SNARE complex Tlg2–Vti1–Tlg1–Snc2  
Organism: Saccharomyces cerevisiae  
Other Organisms: N/A (this exact combination of proteins is specific to S. cerevisiae; functional homologs exist in other eukaryotes but with different nomenclature)

Complex Function:  
Mediates fusion of endosome-derived vesicles with the trans‑Golgi network (TGN). Specifically, it drives membrane docking and lipid bilayer merger in the retrograde transport pathway from endosomes back to the late Golgi, maintaining TGN composition and recycling of sorting receptors.

Proteins and Corresponding Genes:  
• Tlg2p (t-SNARE, Qa family) – gene: TLG2  
• Vti1p (Qb-SNARE) – gene: VTI1  
• Tlg1p (t-SNARE, Qc family) – gene: TLG1  
• Snc2p (v-SNARE, R family) – gene: SNC2  

Self Confidence Score: 0.96",,,
Endosomal SNARE complex TLG2-VTI1-TLG1-SNC2,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"‘Complex Name: Tlg2–Vti1–Tlg1–Snc2 endosomal SNARE complex'  
‘Organism: Saccharomyces cerevisiae'  
‘Complex Function: Mediates fusion of transport vesicles at the late endosome/TGN interface, facilitating retrograde trafficking and maintenance of endosomal and Golgi compartment identity.'  
‘Proteins:  
  - Tlg2 (t-SNARE syntaxin homolog)  
  - Vti1 (vti1p, Q-SNARE subunit)  
  - Tlg1 (syntaxin-like Q-SNARE)  
  - Snc2 (synaptobrevin homolog, R-SNARE)'  
‘Genes:  
  - TLG2  
  - VTI1  
  - TLG1  
  - SNC2'  
‘Other Organisms: N/A (this exact SNARE assembly is described in S. cerevisiae; related SNAREs exist in higher eukaryotes but form distinct complexes)'  
‘Self Confidence Score: 0.95'",,,
Ste12/Dig1/Dig2 transcription regulation complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Saccharomyces cerevisiae (budding yeast)

Complex name:  
Ste12–Dig1–Dig2 transcription regulation complex

Complex function:  
This ternary complex regulates mating‐ and filamentation‐specific gene expression in response to pheromone signaling. Ste12 is the central C2H2 zinc‐finger transcription activator; Dig1 (also known as Rst1) and Dig2 (Rst2) bind Ste12's activation domains to repress its activity in the absence of pheromone. Upon MAPK cascade activation (via Fus3/Kss1), inhibitory phosphorylation events and protein dissociation permit Ste12 to drive transcription of genes required for mating projection (“shmoo”) formation and cell‐cycle arrest.

Proteins in the complex and their genes:  
1. Ste12  
   • Protein: Ste12p  
   • UniProt: P18413  
   • Gene: STE12 (YHR062C)

2. Dig1  
   • Protein: Dig1p (Repressor of Ste12)  
   • UniProt: P53182  
   • Gene: DIG1 (YLR124W) / Alias: RST1

3. Dig2  
   • Protein: Dig2p (Repressor of Ste12)  
   • UniProt: Q12787  
   • Gene: DIG2 (YNL254C) / Alias: RST2

Other organisms:  
No direct orthologous Ste12–Dig1–Dig2 complex has been characterized outside of Saccharomyces‐type budding yeasts. While Ste12 is a member of a broadly conserved family of fungal C2H2 transcription factors, the specific Dig1/Dig2 inhibitory regulators and their ternary assembly appear restricted to Saccharomyces and very closely related hemiascomycete species.

Self‐confidence score: 0.95  
(Based on strong consistency across genetic and proteomic databases, extensive experimental characterization in yeast, accurate protein–gene mappings, and clear organism specificity.)",,,
Ste12/Dig1/Dig2 transcription regulation complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Ste12–Dig1–Dig2 transcription regulation complex  
Organism: Saccharomyces cerevisiae  
Other Organisms: Orthologous Ste12 regulatory modules exist across the Saccharomyces sensu stricto clade (e.g. S. paradoxus, S. bayanus), but the three‐member Ste12–Dig1–Dig2 assembly is best characterized in S. cerevisiae.  

Complex Function:  
In S. cerevisiae, Ste12 is the master transcription factor for mating‐type and filamentation genes. Under nonstimulated conditions, Dig1 and Dig2 bind Ste12 and mask its activation domains. Upon pheromone (mating) or nutrient‐limitation signals, the MAP kinases Fus3 (mating) or Kss1 (filamentation) phosphorylate Dig1 and Dig2. Phosphorylation reduces their affinity for Ste12, releasing Ste12 to dimerize, bind pheromone‐responsive element (PRE) sequences in promoters (e.g. FUS1, FAR1 for mating; TEC1, FLO11 for filamentation), and activate transcription. This switch controls cell‐cycle arrest, shmoo formation, mating‐type switching, and invasive/filamentous growth.  

Proteins in the Complex:  
• Ste12p (Transcription factor Ste12)  
• Dig1p (Repressor of Ste12; also known as Rst1)  
• Dig2p (Repressor of Ste12; also known as Rst2)  

Genes Encoding the Proteins:  
• STE12  
• DIG1  
• DIG2  

Self Confidence Score: 0.97  

Scoring Rationale (weighted):  
• Consistency across sources/databases (0.30): 1.00  
• Supporting experimental data (0.30): 0.95  
• Protein–gene mapping accuracy (0.25): 1.00  
• Organism specificity (0.15): 1.00",,,
Ste12/Dig1/Dig2 transcription regulation complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Ste12p–Dig1p–Dig2p transcriptional regulatory complex  
Organism: Saccharomyces cerevisiae  
Complex Function: In the absence of mating pheromone, Dig1p and Dig2p bind Ste12p and repress its activity at pheromone-response elements (PREs), preventing transcription of mating-specific and filamentation genes. Upon pheromone signaling via the MAPK Fus3, Dig1p/Dig2p inhibition is relieved, allowing Ste12p-driven transcription of mating genes.  
Proteins:  
• Ste12p (transcription factor)  
• Dig1p (repressor of Ste12p; also known as Rst1p)  
• Dig2p (repressor of Ste12p; also known as Rst2p in some studies)  
Genes:  
• STE12  
• DIG1 (RST1)  
• DIG2  
Other Organisms: Orthologous regulatory modules are found in related Saccharomyces species (e.g., S. paradoxus, S. bayanus) but not in higher eukaryotes or non‐Saccharomyces yeasts.  
Self Confidence Score: 0.93",,,
TRAPP II complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
  Saccharomyces cerevisiae  

Complex name:  
  TRAPP II (Transport Protein Particle II)  

Function:  
  Acts as a multisubunit tethering complex and guanine‐nucleotide exchange factor (GEF) for Ypt/Rab GTPases at the late Golgi and endosomal membranes. It promotes vesicle tethering and membrane traffic from the Golgi toward endosomes and the plasma membrane.  

Subunit composition (proteins and corresponding genes):  
  Core TRAPP subunits (shared with TRAPP I/III):  
    • Bet3  (YBR105W)  
    • Bet5  (YER051C)  
    • Trs20 (YER189W)  
    • Trs23 (YPL120W)  
    • Trs31 (YCL018C)  
    • Trs33 (YAL032C)  

  TRAPP II‐specific subunits:  
    • Trs120 (YFL099W)  
    • Trs130 (YLR244C)  
    • Trs65  (YJR021W)  
    • Tca17  (YML010W)  

Other organisms in which TRAPP II is found:  
  — Human (orthologous subunits include TRAPPC2L, TRAPPC3, TRAPPC9, TRAPPC10, TRAPPC6A/B)  
  — Mouse, Drosophila melanogaster, Caenorhabditis elegans (conserved core and some lineage‐specific extensions)  

Self‐confidence score: 0.97  
  (Criteria: database consistency 0.30 + experimental support 0.30 + protein‐gene mapping 0.22 + organism specificity 0.15 = 0.97)",,,
TRAPP II complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: TRAPPII complex  
Organism: Saccharomyces cerevisiae  
Complex Function: A multisubunit tethering complex that acts as a guanine‐nucleotide exchange factor (GEF) for the Rab GTPases Ypt1 (Rab1) and Ypt31/32 (Rab11). TRAPPII specifically promotes tethering and fusion of post‐Golgi and early endosome–derived vesicles at the late Golgi/trans‐Golgi network, and it contributes to Golgi organization and secretion.  

Proteins and Corresponding Genes (S. cerevisiae):  
  • Core subunits (shared with TRAPPI):  
    – Bet3 (BET3)  
    – Bet5 (BET5)  
    – Trs20 (TRS20)  
    – Trs23 (TRS23)  
    – Trs31 (TRS31)  
    – Trs33 (TRS33)  
  • TRAPPII‐specific subunits:  
    – Trs65 (TRS65)  
    – Trs120 (TRS120)  
    – Trs130 (TRS130)  

Other Organisms:  
  TRAPPII is conserved throughout eukaryotes. Orthologous complexes have been characterized in:  
    – Human (e.g., TRAPPC1–TRAPPC12 subunits)  
    – Mouse  
    – Drosophila melanogaster  
    – Caenorhabditis elegans  

Self Confidence Score: 0.90",,,
TRAPP II complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"‘Complex Name: Transport Protein Particle II (TRAPP II) complex'  
‘Organism: Saccharomyces cerevisiae'  
‘Complex Function: A multi‑subunit tethering complex at the trans‑Golgi network that acts as a guanine nucleotide exchange factor (GEF) for the Ypt31/Ypt32 (Rab11) GTPases, promoting late Golgi vesicle tethering and secretory pathway traffic.'  
‘Proteins: Bet3p, Bet5p, Trs20p, Trs23p, Trs31p, Trs33p (core TRAPPI subunits) plus Trs65p, Trs120p, Trs130p (TRAPPII‑specific subunits)'  
‘Genes: BET3, BET5, TRS20, TRS23, TRS31, TRS33, TRS65, TRS120, TRS130'  
‘Other Organisms: Human, Mouse, Drosophila melanogaster, Caenorhabditis elegans'  
‘Self Confidence Score: 0.90'",,,
