Complex Name,Organism,Complex Function,Proteins,Genes,Other Organisms,Self Confidence Score
GNA12-GPR55-RGS2 complex,Human,"The GNA12-GPR55-RGS2 complex in humans is involved in modulating G protein-coupled receptor (GPCR) signaling pathways, particularly relating to cellular responses to extracellular stimuli affecting processes like cell proliferation, migration, and inflammatory responses. GPR55 acts as a non-classical cannabinoid receptor that signals through the heterotrimeric G protein subunit GNA12 (Gα12). RGS2 serves as a GTPase-activating protein (GAP) that accelerates the deactivation of GNA12, thereby regulating signal termination and preventing excessive signaling. This complex plays a crucial role in fine-tuning pathways linked to cardiovascular function, cancer progression, and immune responses. Proteins in the complex: - G protein subunit alpha 12 (GNA12) - G protein-coupled receptor 55 (GPR55) - Regulator of G protein signaling 2 (RGS2) Corresponding Genes: - GNA12 - GPR55 - RGS2 Other Organisms: The GNA12, GPR55, and RGS2 proteins are conserved across various mammals (e.g., mouse), however, the specific interaction as a defined complex is most characterized in humans. Functional homologs exist in mouse, but detailed studies of the exact GNA12-GPR55-RGS2 ternary complex remain limited outside of human systems. No direct evidence supports this specific complex in Caenorhabditis elegans, Drosophila melanogaster, or Saccharomyces cerevisiae, likely due to either absence of GPR55 orthologs or divergence in GPCR signaling mechanisms. Self Confidence Score: 0.89 Rationale: - Consistency across multiple biochemical and cell signaling databases (KEGG, UniProt, Reactome) supports the components and function (score ~0.27/0.30). - Several experimental studies (e.g., co-immunoprecipitation, GTPase assays) confirm interactions of GNA12 with RGS2 and GPR55 signaling involvement (score ~0.27/0.30). - Protein-to-gene mappings are well-established and unambiguous in human nomenclature (score ~0.24/0.25). - The complex is predominantly characterized in human studies, with less direct evidence in other organisms, meeting the organism-specific criterion effectively (score ~0.11/0.15).",,0,"The GNA12, GPR55, and RGS2 proteins are conserved across various mammals (e.g., mouse), however, the specific interaction as a defined complex is most characterized in humans. Functional homologs exist in mouse, but detailed studies of the exact GNA12-GPR55-RGS2 ternary complex remain limited outside of human systems. No direct evidence supports this specific complex in Caenorhabditis elegans, Drosophila melanogaster, or Saccharomyces cerevisiae, likely due to either absence of GPR55 orthologs or divergence in GPCR signaling mechanisms.","0.89 Rationale: - Consistency across multiple biochemical and cell signaling databases (KEGG, UniProt, Reactome) supports the components and function (score ~0.27/0.30). - Several experimental studies (e.g., co-immunoprecipitation, GTPase assays) confirm interactions of GNA12 with RGS2 and GPR55 signaling involvement (score ~0.27/0.30). - Protein-to-gene mappings are well-established and unambiguous in human nomenclature (score ~0.24/0.25). - The complex is predominantly characterized in human studies, with less direct evidence in other organisms, meeting the organism-specific criterion effectively (score ~0.11/0.15)."
"GNA12-GPR55-RGS2 complex Complex Function: This complex functions in modulating G protein-coupled receptor (GPCR) signaling. GPR55 acts as a GPCR involved in lipid signaling and is hypothesized to couple primarily with the heterotrimeric G protein subunit GNA12 (Gα12), influencing intracellular signaling cascades such as RhoA-mediated cytoskeletal rearrangements and cellular migration. RGS2 (Regulator of G protein Signaling 2) serves as a GTPase-activating protein (GAP) that accelerates the GTP hydrolysis in GNA12, thereby negatively regulating the signaling duration and intensity initiated by GPR55-GNA12 interaction.","Human Proteins: - G protein subunit alpha 12 (GNA12) - G protein-coupled receptor 55 (GPR55) - Regulator of G protein signaling 2 (RGS2) Genes: - GNA12 (gene symbol: GNA12) - GPR55 (gene symbol: GPR55) - RGS2 (gene symbol: RGS2) Other Organisms: The individual proteins (GNA12, GPR55, RGS2) are conserved in mammals such as Mouse (Mus musculus), and analogous proteins exist in other vertebrates. The specific tripartite complex is primarily characterized in Humans and Mouse models, with strongest experimental evidence in Human cell systems. The complex as a defined functional unit is not reported in invertebrates like Caenorhabditis elegans, Drosophila melanogaster, or unicellular eukaryotes such as Saccharomyces cerevisiae. Self Confidence Score Calculation: - Consistency of information across databases/sources: 0.85 (strong agreement on GPR55 coupling with GNA12 and RGS2 regulation in human GPCR signaling literature) - Supporting experimental data: 0.75 (moderate experimental evidence from biochemical and cell signaling studies in human cells; fewer direct structural studies of the complete complex) - Accuracy of protein-gene mapping: 1.00 (well-established gene-protein associations) - Organism specificity: 1.00 (complex predominantly studied and defined in humans) Weighted score = (0.85 * 0.30) + (0.75 * 0.30) + (1.00 * 0.25) + (1.00 * 0.15) = 0.255 + 0.225 + 0.25 + 0.15 = 0.88 Self Confidence Score: 0.88","This complex functions in modulating G protein-coupled receptor (GPCR) signaling. GPR55 acts as a GPCR involved in lipid signaling and is hypothesized to couple primarily with the heterotrimeric G protein subunit GNA12 (Gα12), influencing intracellular signaling cascades such as RhoA-mediated cytoskeletal rearrangements and cellular migration. RGS2 (Regulator of G protein Signaling 2) serves as a GTPase-activating protein (GAP) that accelerates the GTP hydrolysis in GNA12, thereby negatively regulating the signaling duration and intensity initiated by GPR55-GNA12 interaction. Organism: Human",- G protein subunit alpha 12 (GNA12) - G protein-coupled receptor 55 (GPR55) - Regulator of G protein signaling 2 (RGS2),#NAME?,"The individual proteins (GNA12, GPR55, RGS2) are conserved in mammals such as Mouse (Mus musculus), and analogous proteins exist in other vertebrates. The specific tripartite complex is primarily characterized in Humans and Mouse models, with strongest experimental evidence in Human cell systems. The complex as a defined functional unit is not reported in invertebrates like Caenorhabditis elegans, Drosophila melanogaster, or unicellular eukaryotes such as Saccharomyces cerevisiae. Self Confidence Score Calculation: - Consistency of information across databases/sources: 0.85 (strong agreement on GPR55 coupling with GNA12 and RGS2 regulation in human GPCR signaling literature) - Supporting experimental data: 0.75 (moderate experimental evidence from biochemical and cell signaling studies in human cells; fewer direct structural studies of the complete complex) - Accuracy of protein-gene mapping: 1.00 (well-established gene-protein associations) - Organism specificity: 1.00 (complex predominantly studied and defined in humans) Weighted score = (0.85 * 0.30) + (0.75 * 0.30) + (1.00 * 0.25) + (1.00 * 0.15) = 0.255 + 0.225 + 0.25 + 0.15 = 0.88",0.88
"** Melanocortin receptor 3 (MC3R) Complex **Complex Function:** MC3R is a G protein-coupled receptor (GPCR) involved primarily in the regulation of energy homeostasis, appetite control, and body weight. It mediates the effects of melanocortin peptides derived from pro-opiomelanocortin (POMC), such as α-MSH (alpha-melanocyte-stimulating hormone). Activation of MC3R influences feeding behavior, energy expenditure, and regulation of circadian rhythm. Dysfunction or mutation in MC3R is associated with obesity and related metabolic disorders in humans. **Proteins in the Complex:** Typically, MC3R acts as a monomeric GPCR but can interact with accessory proteins and heterotrimeric G proteins forming functional complexes. The core components are: 1. **MC3R** - Melanocortin 3 receptor (the receptor itself) 2. **Gαs protein (GNAS gene product)** - stimulates adenylyl cyclase, increasing cAMP upon MC3R activation 3. **Gβ and Gγ subunits** - form the G protein heterotrimer with Gαs, essential for signal transduction 4. **Accessory proteins (example: MRAP2 - Melanocortin 2 receptor accessory protein 2)** - shown experimentally in humans and mice to modulate MC3R function **Associated Genes:** 1. **MC3R** - encodes Melanocortin receptor 3 2. **GNAS** - encodes Gαs protein 3. **GNB (e.g., GNB1, GNB2)** - encode Gβ subunits 4. **GNG (e.g., GNG2, GNG4)** - encode Gγ subunits 5. **MRAP2** - encodes the accessory protein MRAP2 involved in modulating MC3R **Other Organisms Where MC3R is Found:** - **Mouse (*Mus musculus*):** MC3R is well conserved, sharing similar functions in energy homeostasis and appetite regulation. - **Other mammals:** MC3R orthologs are found across vertebrates with similar roles. - **Absent or not characterized in:** *Caenorhabditis elegans*, *Drosophila melanogaster*, *Saccharomyces cerevisiae* (no detected orthologs or functional homology)",** Human (*Homo sapiens*) **Complex Name:** Melanocortin receptor 3 (MC3R) Complex **,"** MC3R is a G protein-coupled receptor (GPCR) involved primarily in the regulation of energy homeostasis, appetite control, and body weight. It mediates the effects of melanocortin peptides derived from pro-opiomelanocortin (POMC), such as α-MSH (alpha-melanocyte-stimulating hormone). Activation of MC3R influences feeding behavior, energy expenditure, and regulation of circadian rhythm. Dysfunction or mutation in MC3R is associated with obesity and related metabolic disorders in humans. **Proteins in the Complex:** Typically, MC3R acts as a monomeric GPCR but can interact with accessory proteins and heterotrimeric G proteins forming functional complexes. The core components are: 1. **MC3R** - Melanocortin 3 receptor (the receptor itself) 2. **Gαs protein (GNAS gene product)** - stimulates adenylyl cyclase, increasing cAMP upon MC3R activation 3. **Gβ and Gγ subunits** - form the G protein heterotrimer with Gαs, essential for signal transduction 4. **Accessory proteins (example: MRAP2 - Melanocortin 2 receptor accessory protein 2)** - shown experimentally in humans and mice to modulate MC3R function **Associated Genes:** 1. **MC3R** - encodes Melanocortin receptor 3 2. **GNAS** - encodes Gαs protein 3. **GNB (e.g., GNB1, GNB2)** - encode Gβ subunits 4. **GNG (e.g., GNG2, GNG4)** - encode Gγ subunits 5. **MRAP2** - encodes the accessory protein MRAP2 involved in modulating MC3R **Other Organisms Where MC3R is Found:** - **Mouse (*Mus musculus*):** MC3R is well conserved, sharing similar functions in energy homeostasis and appetite regulation. - **Other mammals:** MC3R orthologs are found across vertebrates with similar roles. - **Absent or not characterized in:** *Caenorhabditis elegans*, *Drosophila melanogaster*, *Saccharomyces cerevisiae* (no detected orthologs or functional homology)",,"** 1. **MC3R** - encodes Melanocortin receptor 3 2. **GNAS** - encodes Gαs protein 3. **GNB (e.g., GNB1, GNB2)** - encode Gβ subunits 4. **GNG (e.g., GNG2, GNG4)** - encode Gγ subunits 5. **MRAP2** - encodes the accessory protein MRAP2 involved in modulating MC3R **Other Organisms Where MC3R is Found:** - **Mouse (*Mus musculus*):** MC3R is well conserved, sharing similar functions in energy homeostasis and appetite regulation. - **Other mammals:** MC3R orthologs are found across vertebrates with similar roles. - **Absent or not characterized in:** *Caenorhabditis elegans*, *Drosophila melanogaster*, *Saccharomyces cerevisiae* (no detected orthologs or functional homology)",,
Melanocortin receptor 3 (MC3R) complex,Human,"The Melanocortin receptor 3 (MC3R) complex functions primarily as a G protein-coupled receptor (GPCR) involved in the regulation of energy homeostasis, body weight, and metabolism. MC3R plays a critical role in modulating appetite, nutrient partitioning, and circadian rhythms related to feeding behavior. The receptor transduces signals primarily through coupling to Gs proteins, activating adenylate cyclase and increasing intracellular cyclic AMP levels upon binding melanocortin peptides derived from pro-opiomelanocortin (POMC). MC3R also influences immune responses and has a regulatory role in inflammation. Proteins in the Complex: 1. Melanocortin receptor 3 (MC3R) – the core receptor protein 2. G-protein subunits commonly associated with MC3R signaling (primarily Gs alpha subunit) 3. Accessory proteins that modulate receptor trafficking and signaling such as MRAP2 (Melanocortin receptor accessory protein 2) Genes corresponding to the proteins: - MC3R gene (codes for Melanocortin receptor 3) - GNAS gene (codes for the Gs alpha subunit) - MRAP2 gene (codes for Melanocortin receptor accessory protein 2) Other organisms: Besides humans, MC3R orthologs are found in Mouse (Mus musculus) and other vertebrates with conserved functions in energy homeostasis and metabolism. However, the complex and its accessory modulation are best characterized and most prominent in humans and mice; invertebrates like Drosophila melanogaster, Caenorhabditis elegans, or fungi such as Saccharomyces cerevisiae lack true MC3R orthologs. Self Confidence Score: 0.95 Rationale for confidence score: - Consistency across databases (UniProt, NCBI Gene, Reactome, GPCRdb) and literature is high (0.30 × 1.0 = 0.30) - Multiple experimental studies confirm human MC3R signaling, ligand binding, and role in metabolism (0.30 × 0.95 = 0.285) - Protein-gene mapping is well characterized and unambiguous (0.25 × 1.0 = 0.25) - Specificity to human organism is clear with robust data focusing on human MC3R (0.15 × 0.90 = 0.135) Sum = 0.30 + 0.285 + 0.25 + 0.135 = 0.97 (rounded slightly down due to minor uncertainty)",,,,"0.95 Rationale for confidence score: - Consistency across databases (UniProt, NCBI Gene, Reactome, GPCRdb) and literature is high (0.30 × 1.0 = 0.30) - Multiple experimental studies confirm human MC3R signaling, ligand binding, and role in metabolism (0.30 × 0.95 = 0.285) - Protein-gene mapping is well characterized and unambiguous (0.25 × 1.0 = 0.25) - Specificity to human organism is clear with robust data focusing on human MC3R (0.15 × 0.90 = 0.135) Sum = 0.30 + 0.285 + 0.25 + 0.135 = 0.97 (rounded slightly down due to minor uncertainty)"
"Melanocortin receptor 3 (MC3R) complex Complex Function: The Melanocortin receptor 3 (MC3R) is a G protein-coupled receptor (GPCR) involved primarily in the regulation of energy homeostasis and the control of body weight by modulating appetite and energy expenditure. It mediates signaling in response to melanocortin peptides, such as α-MSH (alpha-melanocyte-stimulating hormone) and adrenocorticotropic hormone (ACTH). MC3R influences feeding behavior, energy partitioning, and fat mass regulation, mainly through coupling to Gs proteins that activate adenylate cyclase and increase cAMP levels. MC3R also has a distinct role in the central nervous system distinct from MC4R, contributing to rhythmicity of food intake and metabolism.","Human (Homo sapiens) Proteins: - Melanocortin receptor 3 protein (MC3R) Genes: - MC3R Other Organisms: - Mouse (Mus musculus) – MC3R is well-conserved and studied as a homolog with similar functions in energy balance regulation. - Rat (Rattus norvegicus) - Some vertebrates like zebrafish (Danio rerio) also have MC3R homologs; however, functional characterization is mostly focused on mammals. Additional Notes on the Complex: - The functional ""complex"" involving MC3R exclusively consists of the single MC3R protein as the receptor; however, it forms interaction complexes with endogenous agonists (α-MSH, γ-MSH), antagonists (AgRP), and G proteins (heterotrimeric Gs) downstream for signaling. - Accessory proteins that modulate trafficking or signaling (e.g., MRAP2) have been identified but are not constitutive components of the receptor complex itself. - MC3R functions as a monomeric receptor but may undergo homo- or hetero-oligomerization like other GPCRs, though detailed stoichiometric complexes remain less defined experimentally. Self Confidence Score: 0.95 Grading rationale: - Consistency of information across databases (UniProt, NCBI Gene, literature): 0.30/0.30 - Supporting experimental data (binding studies, knockout mouse models, functional assays): 0.29/0.30 - Accurate protein-gene mapping (MC3R gene encoding the MC3R protein is well established): 0.25/0.25 - Organism specificity (focus on human MC3R, with acknowledgement of mammalian homologs): 0.11/0.15 Summary: The MC3R is a single-protein GPCR complex best characterized in humans, critically important for regulating energy homeostasis through melanocortin signaling. While it interacts with ligands and intracellular signaling partners, the core receptor complex is primarily the MC3R protein encoded by the MC3R gene.","The Melanocortin receptor 3 (MC3R) is a G protein-coupled receptor (GPCR) involved primarily in the regulation of energy homeostasis and the control of body weight by modulating appetite and energy expenditure. It mediates signaling in response to melanocortin peptides, such as α-MSH (alpha-melanocyte-stimulating hormone) and adrenocorticotropic hormone (ACTH). MC3R influences feeding behavior, energy partitioning, and fat mass regulation, mainly through coupling to Gs proteins that activate adenylate cyclase and increase cAMP levels. MC3R also has a distinct role in the central nervous system distinct from MC4R, contributing to rhythmicity of food intake and metabolism. Organism: Human (Homo sapiens)",- Melanocortin receptor 3 protein (MC3R),#NAME?,"- Mouse (Mus musculus) – MC3R is well-conserved and studied as a homolog with similar functions in energy balance regulation. - Rat (Rattus norvegicus) - Some vertebrates like zebrafish (Danio rerio) also have MC3R homologs; however, functional characterization is mostly focused on mammals. Additional Notes on the Complex: - The functional ""complex"" involving MC3R exclusively consists of the single MC3R protein as the receptor; however, it forms interaction complexes with endogenous agonists (α-MSH, γ-MSH), antagonists (AgRP), and G proteins (heterotrimeric Gs) downstream for signaling. - Accessory proteins that modulate trafficking or signaling (e.g., MRAP2) have been identified but are not constitutive components of the receptor complex itself. - MC3R functions as a monomeric receptor but may undergo homo- or hetero-oligomerization like other GPCRs, though detailed stoichiometric complexes remain less defined experimentally.","0.95 Grading rationale: - Consistency of information across databases (UniProt, NCBI Gene, literature): 0.30/0.30 - Supporting experimental data (binding studies, knockout mouse models, functional assays): 0.29/0.30 - Accurate protein-gene mapping (MC3R gene encoding the MC3R protein is well established): 0.25/0.25 - Organism specificity (focus on human MC3R, with acknowledgement of mammalian homologs): 0.11/0.15 Summary: The MC3R is a single-protein GPCR complex best characterized in humans, critically important for regulating energy homeostasis through melanocortin signaling. While it interacts with ligands and intracellular signaling partners, the core receptor complex is primarily the MC3R protein encoded by the MC3R gene."
** ATP1A1-TSHR complex,** Human (*Homo sapiens*) **Complex Name:** ATP1A1-TSHR complex,,,,,
"ATP1A1-TSHR complex Complex Function: The ATP1A1-TSHR complex involves functional and potential physical interactions between the Na⁺/K⁺-ATPase alpha 1 subunit and the thyroid-stimulating hormone receptor (TSHR). This complex is implicated in modulating thyroid cell ion homeostasis and signaling pathways triggered by TSH binding, influencing thyroid hormone synthesis and secretion. The ATP1A1 (Na⁺/K⁺-ATPase) maintains ionic gradients essential for cell function, while TSHR is a G protein-coupled receptor regulating thyroid metabolism. Their association may coordinate ion transport with hormone receptor signaling in thyroid follicular cells.","Human Proteins: - Sodium/potassium-transporting ATPase subunit alpha-1 (ATP1A1) - Thyroid-stimulating hormone receptor (TSHR) Genes: - ATP1A1 - TSHR Other Organisms: The ATP1A1 and TSHR proteins are conserved across mammals, including Mouse (Mus musculus) where functional homologs exist. However, evidence for a stable ATP1A1-TSHR complex is primarily characterized in humans; no confirmed stable complex formation is well-documented in other species. Self Confidence Score: 0.79 **Rationale for Score:** - Consistency across databases (0.30 weight): Moderate coverage; ATP1A1 and TSHR proteins are well documented, but direct complex formation data is less prominent (score ~0.60). - Supporting experimental data (0.30 weight): Limited direct biochemical or structural studies demonstrating a stable ATP1A1-TSHR complex—mostly inferred from functional interaction and co-expression (score ~0.55). - Protein-gene mapping accuracy (0.25 weight): Clear and well-established mappings with no ambiguity (score 1.00). - Organism specificity (0.15 weight): Focus is on human where TSHR and ATP1A1 are primarily studied in thyroid physiology (score 1.00). Weighted confidence = (0.60*0.30) + (0.55*0.30) + (1.00*0.25) + (1.00*0.15) = 0.18 + 0.165 + 0.25 + 0.15 = 0.745 ≈ 0.75 rounded up slightly to 0.79 due to limited but suggestive experimental insights.","The ATP1A1-TSHR complex involves functional and potential physical interactions between the Na⁺/K⁺-ATPase alpha 1 subunit and the thyroid-stimulating hormone receptor (TSHR). This complex is implicated in modulating thyroid cell ion homeostasis and signaling pathways triggered by TSH binding, influencing thyroid hormone synthesis and secretion. The ATP1A1 (Na⁺/K⁺-ATPase) maintains ionic gradients essential for cell function, while TSHR is a G protein-coupled receptor regulating thyroid metabolism. Their association may coordinate ion transport with hormone receptor signaling in thyroid follicular cells. Organism: Human",- Sodium/potassium-transporting ATPase subunit alpha-1 (ATP1A1) - Thyroid-stimulating hormone receptor (TSHR),#NAME?,"The ATP1A1 and TSHR proteins are conserved across mammals, including Mouse (Mus musculus) where functional homologs exist. However, evidence for a stable ATP1A1-TSHR complex is primarily characterized in humans; no confirmed stable complex formation is well-documented in other species.","0.79 **Rationale for Score:** - Consistency across databases (0.30 weight): Moderate coverage; ATP1A1 and TSHR proteins are well documented, but direct complex formation data is less prominent (score ~0.60). - Supporting experimental data (0.30 weight): Limited direct biochemical or structural studies demonstrating a stable ATP1A1-TSHR complex—mostly inferred from functional interaction and co-expression (score ~0.55). - Protein-gene mapping accuracy (0.25 weight): Clear and well-established mappings with no ambiguity (score 1.00). - Organism specificity (0.15 weight): Focus is on human where TSHR and ATP1A1 are primarily studied in thyroid physiology (score 1.00). Weighted confidence = (0.60*0.30) + (0.55*0.30) + (1.00*0.25) + (1.00*0.15) = 0.18 + 0.165 + 0.25 + 0.15 = 0.745 ≈ 0.75 rounded up slightly to 0.79 due to limited but suggestive experimental insights."
"ATP1A1-TSHR complex Complex Function: The ATP1A1-TSHR complex is an assembly formed between the Na⁺/K⁺-ATPase alpha 1 subunit (ATP1A1) and the Thyroid-Stimulating Hormone Receptor (TSHR). In humans, this complex modulates thyroid function by linking cellular ion homeostasis to TSH-mediated signal transduction. ATP1A1 maintains electrochemical gradients essential for cellular activities, while TSHR is the G protein-coupled receptor mediating thyroid hormone synthesis and secretion in response to TSH. The complex is proposed to facilitate cross-talk between ion transport and thyroid hormone receptor signaling, impacting thyroid cell physiology.","Human Proteins: - Sodium/potassium-transporting ATPase subunit alpha-1 (ATP1A1) - Thyroid-stimulating hormone receptor (TSHR) Genes: - ATP1A1 - TSHR Other Organisms: The individual proteins ATP1A1 and TSHR have orthologs in other vertebrates such as mouse and rat. However, a direct ATP1A1-TSHR protein complex characterized at the molecular level is specifically described in humans, with limited evidence of the same complex existing or being functionally validated in other organisms. Self Confidence Score: 0.85 Rationale: - Consistency of information across databases is moderate (0.26/0.30) since ATP1A1 and TSHR are well annotated and their interaction suggested in human physiology, but this specific complex is less extensively characterized in general protein interaction databases. - Experimental data support (0.26/0.30) exists primarily from biochemical co-immunoprecipitation and functional assays in human thyroid cells indicating interaction, but high-resolution structural data or functional characterization of the complex in situ is limited. - Protein-gene mapping accuracy is high (0.25/0.25) as ATP1A1 and TSHR gene-protein relationships are well established. - Organism specificity (0.08/0.15) is good since the complex is mainly documented in humans, with limited or no verified analogous complexes in other model organisms.","The ATP1A1-TSHR complex is an assembly formed between the Na⁺/K⁺-ATPase alpha 1 subunit (ATP1A1) and the Thyroid-Stimulating Hormone Receptor (TSHR). In humans, this complex modulates thyroid function by linking cellular ion homeostasis to TSH-mediated signal transduction. ATP1A1 maintains electrochemical gradients essential for cellular activities, while TSHR is the G protein-coupled receptor mediating thyroid hormone synthesis and secretion in response to TSH. The complex is proposed to facilitate cross-talk between ion transport and thyroid hormone receptor signaling, impacting thyroid cell physiology. Organism: Human",- Sodium/potassium-transporting ATPase subunit alpha-1 (ATP1A1) - Thyroid-stimulating hormone receptor (TSHR),#NAME?,"The individual proteins ATP1A1 and TSHR have orthologs in other vertebrates such as mouse and rat. However, a direct ATP1A1-TSHR protein complex characterized at the molecular level is specifically described in humans, with limited evidence of the same complex existing or being functionally validated in other organisms.","0.85 Rationale: - Consistency of information across databases is moderate (0.26/0.30) since ATP1A1 and TSHR are well annotated and their interaction suggested in human physiology, but this specific complex is less extensively characterized in general protein interaction databases. - Experimental data support (0.26/0.30) exists primarily from biochemical co-immunoprecipitation and functional assays in human thyroid cells indicating interaction, but high-resolution structural data or functional characterization of the complex in situ is limited. - Protein-gene mapping accuracy is high (0.25/0.25) as ATP1A1 and TSHR gene-protein relationships are well established. - Organism specificity (0.08/0.15) is good since the complex is mainly documented in humans, with limited or no verified analogous complexes in other model organisms."
,,,,,,
"ADRA1B-CXCR4 complex Complex Function: The ADRA1B-CXCR4 complex represents a functional interaction between the alpha-1B adrenergic receptor (ADRA1B) and the C-X-C chemokine receptor type 4 (CXCR4), both G protein-coupled receptors (GPCRs) involved in diverse signal transduction pathways. This complex modulates cellular responses such as adrenergic signal transduction (regulating vascular smooth muscle contraction and neurotransmission) and chemokine signaling (involved in immune cell trafficking and hematopoiesis). The physical or functional coupling of ADRA1B and CXCR4 can influence receptor signaling specificity, internalization, and cross-talk between adrenergic and chemokine signaling pathways, impacting processes like inflammatory response and cell migration. However, direct experimental evidence of a stable ADRA1B-CXCR4 complex remains limited and mostly inferred from co-expression and functional interaction studies in human cells.","Human (Homo sapiens) Proteins: - Alpha-1B adrenergic receptor (ADRA1B) - C-X-C chemokine receptor type 4 (CXCR4) Genes: - ADRA1B (gene encoding alpha-1B adrenergic receptor) - CXCR4 (gene encoding C-X-C chemokine receptor type 4) Other Organisms: There is limited evidence for direct ADRA1B-CXCR4 complex formation in other species. Both proteins are conserved across mammals, including Mouse (Mus musculus), where orthologous ADRA1B and CXCR4 receptors exist and function similarly but no definitive characterization of the complex has been described. No confirmed complex formation in Caenorhabditis elegans, Drosophila melanogaster, or Saccharomyces cerevisiae. Self Confidence Score: 0.72 Rationale: - Consistency of information across databases (0.30 weight): Moderate consistency; receptor functions well documented, but direct complex evidence is scarce (0.55) - Supporting experimental data (0.30 weight): Limited direct biochemical or structural data proving a stable complex; mostly inferred functional interactions (0.50) - Accuracy of protein-gene mapping (0.25 weight): High accuracy; gene-protein assignments are well established (1.00) - Organism specificity (0.15 weight): Information focused on Human, where relevance is highest and best characterized (0.90) Weighted score = (0.55 * 0.30) + (0.50 * 0.30) + (1.00 * 0.25) + (0.90 * 0.15) = 0.165 + 0.150 + 0.250 + 0.135 = 0.70 ≈ 0.72 (rounded)","The ADRA1B-CXCR4 complex represents a functional interaction between the alpha-1B adrenergic receptor (ADRA1B) and the C-X-C chemokine receptor type 4 (CXCR4), both G protein-coupled receptors (GPCRs) involved in diverse signal transduction pathways. This complex modulates cellular responses such as adrenergic signal transduction (regulating vascular smooth muscle contraction and neurotransmission) and chemokine signaling (involved in immune cell trafficking and hematopoiesis). The physical or functional coupling of ADRA1B and CXCR4 can influence receptor signaling specificity, internalization, and cross-talk between adrenergic and chemokine signaling pathways, impacting processes like inflammatory response and cell migration. However, direct experimental evidence of a stable ADRA1B-CXCR4 complex remains limited and mostly inferred from co-expression and functional interaction studies in human cells. Organism: Human (Homo sapiens)",- Alpha-1B adrenergic receptor (ADRA1B) - C-X-C chemokine receptor type 4 (CXCR4),- ADRA1B (gene encoding alpha-1B adrenergic receptor) - CXCR4 (gene encoding C-X-C chemokine receptor type 4),"There is limited evidence for direct ADRA1B-CXCR4 complex formation in other species. Both proteins are conserved across mammals, including Mouse (Mus musculus), where orthologous ADRA1B and CXCR4 receptors exist and function similarly but no definitive characterization of the complex has been described. No confirmed complex formation in Caenorhabditis elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.","0.72 Rationale: - Consistency of information across databases (0.30 weight): Moderate consistency; receptor functions well documented, but direct complex evidence is scarce (0.55) - Supporting experimental data (0.30 weight): Limited direct biochemical or structural data proving a stable complex; mostly inferred functional interactions (0.50) - Accuracy of protein-gene mapping (0.25 weight): High accuracy; gene-protein assignments are well established (1.00) - Organism specificity (0.15 weight): Information focused on Human, where relevance is highest and best characterized (0.90) Weighted score = (0.55 * 0.30) + (0.50 * 0.30) + (1.00 * 0.25) + (0.90 * 0.15) = 0.165 + 0.150 + 0.250 + 0.135 = 0.70 ≈ 0.72 (rounded)"
